name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Odoo Analyst,Астана,,,,2024-12-11T17:04:10+0300,Itransition,...experience as an <highlighttext>analyst</highlighttext>. Advanced excel/google sheets knowledge including working with <highlighttext>data</highlighttext> arrays and pivots. <highlighttext>Data</highlighttext> Analysis experience. ,remote,HOURS_8,5/2,Аналитик,От 1 года до 3 лет,full
Middle Revenue Analyst,Астана,,,,2024-11-29T13:22:05+0300,"Epam Kazakhstan (Эпам Казахстан),ТОО","Desire to dive into large amounts of <highlighttext>data</highlighttext>, unleashing your analytical prowess. Excellent communication skills, allowing you to collaborate with...",fullDay,HOURS_8,5/2,"Финансовый аналитик, инвестиционный аналитик",От 1 года до 3 лет,full
Product manager,Алматы,,,,2024-12-15T08:12:15+0300,AVIATA.KZ,"Глубокое понимание продуктового управления и не менее 2 лет опыта работы продакт-менеджером (тревел-тех опыт не обязателен, но будет...",fullDay,HOURS_8,5/2,Бизнес-аналитик,От 1 года до 3 лет,full
Data Scientist,Алматы,600000.0,,KZT,2024-12-02T13:48:16+0300,FRONT D.VISION,"Опыт работы с анализом данных от 2 года. Знакомы с технологиями Big <highlighttext>Data</highlighttext> (Spark, Hadoop, HDFS). Опыт работы с моделями...",fullDay,HOURS_8,5/2,Дата-сайентист,От 3 до 6 лет,full
IT Project manager (Проектный менеджер в сфере IT)_Middle/Junior,Алматы,400000.0,800000.0,KZT,2024-12-02T12:41:17+0300,FRONT D.VISION,"Опыт работы от 2 лет в роли Project Manager в проектах DWH, Big <highlighttext>Data</highlighttext>, или ML. Знание жизненного цикла разработки...",fullDay,HOURS_8,5/2,Руководитель проектов,От 1 года до 3 лет,full
Business Development Manager (Менеджер по продвижению IT-решений компании),Алматы,800000.0,,KZT,2024-12-17T13:08:00+0300,FRONT D.VISION,"Опыт работы в IT-сфере (от 3-х лет) и знание рынка IT-решений обязателен. Навыки активных продаж, умение вести...",fullDay,HOURS_8,5/2,Другое,От 3 до 6 лет,full
Business Data Analyst,Алматы,,,,2024-12-16T10:53:39+0300,Неткрэкер Текнолоджи Казахстан,"...Science or <highlighttext>Data</highlighttext> Science. At least 2 years of experience in <highlighttext>data</highlighttext> analytics, <highlighttext>data</highlighttext> modelling, <highlighttext>data</highlighttext> integration and <highlighttext>data</highlighttext> visualization. ",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 1 года до 3 лет,full
Data Engineer,Алматы,,,,2024-12-16T10:53:19+0300,Неткрэкер Текнолоджи Казахстан,"At least 2 years of experience in <highlighttext>data</highlighttext> analytics, <highlighttext>data</highlighttext> modelling, <highlighttext>data</highlighttext> integration and <highlighttext>data</highlighttext> visualization. Hands-on experience with...",fullDay,HOURS_8,5/2,Дата-сайентист,От 1 года до 3 лет,full
BI-аналитик,Алматы,,,,2024-11-22T15:10:58+0300,Magnum E-commerce Kazakhstan,"Имеете опыт работы в роли <highlighttext>аналитика</highlighttext> не менее одного года. - Отлично знаете SQL (любой диалект), работали с базами данных. - ",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 1 года до 3 лет,full
Продуктовый менеджер (Product Manager),Алматы,,,,2024-11-28T09:27:44+0300,SAUDATA,"От 2 лет на позиции продуктового менеджера (IT, Big <highlighttext>Data</highlighttext>, SaaS). Опыт управления продуктами полного цикла: от идеи до поддержки. ",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Head of Data Analysis,Алматы,,,,2024-11-27T14:20:35+0300,Arbuz Group (Арбуз Груп),"Proven ability to communicate complex <highlighttext>data</highlighttext> findings to diverse audiences. Education and Experience: Bachelor’s degree in <highlighttext>Data</highlighttext> Science, Computer...",fullDay,HOURS_8,5/2,"BI-аналитик, аналитик данных",От 3 до 6 лет,full
Customer Support Supervisor,Астана,,,,2024-12-10T13:28:25+0300,Спортион эй эм (Sportion TM),"At least college graduate. Ability to handle difficult customer situations with tact. Must have good Kazakh, Russian, and English Language...",remote,HOURS_8,5/2,"Оператор call-центра, специалист контактного центра",От 3 до 6 лет,full
Digital Marketing Lead,Алматы,,,,2024-11-25T14:19:44+0300,Частная компания Snoonu Technologies Ltd.,"Utilizing <highlighttext>data</highlighttext> and metrics to drive improvements. Proficiency with Excel or Tableau/Power BI/Google <highlighttext>Data</highlighttext> Studio (<highlighttext>data</highlighttext> manipulation, basic...",fullDay,HOURS_8,5/2,Другое,От 1 года до 3 лет,full
Data Scientist,Алматы,4500.0,6000.0,USD,2024-12-17T13:31:25+0300,COMTEK Inc.,5 years of python coding experience. - 5 years of SQL. - Dashboarding (Power BI). - Min 1 year experience with aws. - ,remote,HOURS_8,5/2,Дата-сайентист,Более 6 лет,full
Ведущий PPC-специалист (Google Ads),Алматы,,,,2024-12-03T13:00:09+0300,Movavi,Масштабный опыт использования автоматизации в управлении кампаниями: от рекламных оптимизаторов до <highlighttext>аналитики</highlighttext> данных. – Экспертное знание глобальных и крупных локальных систем...,remote,HOURS_8,5/2,"Менеджер по маркетингу, интернет-маркетолог",Более 6 лет,full
Senior Data Engineer,Алматы,,,,2024-12-12T11:54:48+0300,Movavi,"Для успешного выполнения задач тебе потребуется: – Опыт работы инженером данных от трех лет. – Идеальное знание Python и SQL, понимание принципов...",remote,HOURS_8,5/2,Дата-сайентист,От 3 до 6 лет,full
