name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Проектный менеджер,Астана,300000.0,450000.0,KZT,2024-11-18T10:15:59+0300,Yurt Tech,"Знание принципов работы биометрических систем (FaceID, СКУД). Опыт работы с системами <highlighttext>безопасности</highlighttext> или автоматизацией объектов. Понимание интеграционных процессов в крупных...",fullDay,HOURS_8,5/2,Руководитель проектов,От 1 года до 3 лет,full
Senior DevSecOps Engineer,Алматы,,,,2024-12-11T15:58:13+0300,red_mad_robot,"Как минимум* участие в разработке и внедрении стратегии кибербезопасности для финансовых учреждений. Опыт проведения аудита <highlighttext>безопасности</highlighttext>, анализа рисков и разработки...",fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 3 до 6 лет,full
DevOps-инженер,Астана,,,,2024-12-05T14:10:40+0300,Intelligent Digital Solutions,"Знание CI/CD процессов на GitLab. Умение работать с базами данных PostgreSQL и аналитическими системами (ClickHouse, Kafka). Навыки настройки и...",fullDay,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
Middle Java Software Engineer,Астана,350000.0,600000.0,KZT,2024-12-16T08:58:31+0300,Fundsmarket,"Знания Spring Framework (Spring Boot, Spring <highlighttext>Security</highlighttext>, Spring Data), Hibernate, Maven/Gradle. Опыт работы с PostgreSQL и Redis. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Инженер-проектировщик по Организации дорожного движения (ОДД),Астана,600000.0,900000.0,KZT,2024-12-13T12:03:29+0300,UNIVERSAL TECH DECISIONS,"Образование в сфере автомобильных дорог, организации движения, транспорта. - Знание нормативной документации в области <highlighttext>безопасности</highlighttext> дорожного движения и проектирования улично-дорожной...",fullDay,HOURS_8,5/2,"Инженер-конструктор, инженер-проектировщик",От 3 до 6 лет,full
Инженер-наладчик электрооборудования,Караганда,,,,2024-11-26T10:35:53+0300,KAZPROM ENGINEERING,"Профильное образование высшее, оконченное. Возможность работать вахтовым методом 15/15. Общие знания об электроснабжении, принципах работы защит и механизмов РП...",flyInFlyOut,HOURS_12,6/1,"Инженер-энергетик, инженер-электрик",От 3 до 6 лет,full
Middle DevOps Engineer,Алматы,2500.0,,USD,2024-11-21T11:28:27+0300,ЧАСТНАЯ КОМПАНИЯ MD KZ LTD.,"Cloud Mastery: Deep understanding of cloud concepts and experience developing <highlighttext>secure</highlighttext>, highly available cloud solutions. Cost Optimization: Proven track record...",remote,HOURS_8,5/2,DevOps-инженер,От 3 до 6 лет,full
SOC Engineer,Астана,,,,2024-11-18T12:52:32+0300,G5EN KAZ,"...administering <highlighttext>Security</highlighttext> Information and Event Management (SIEM) systems like Microsoft Sentinel, Splunk. Extensive knowledge and hands-on experience in <highlighttext>security</highlighttext>...",fullDay,HOURS_8,5/2,Дата-сайентист,От 3 до 6 лет,full
Инженер информационной безопасности,Астана,,,,2024-12-15T14:34:54+0300,ALG Innovations,"Дополнительные знания, умения, навыки: Знание основ и принципов обеспечения информационной <highlighttext>безопасности</highlighttext> предприятия. Понимание принципов функционирования корпоративных информационных систем. ",fullDay,HOURS_8,5/2,Системный инженер,От 1 года до 3 лет,full
Cybersecurity инженер (Middle),Алматы,,,,2024-11-27T14:18:54+0300,Arbuz Group (Арбуз Груп),Уверенное знание и опыт работы со средствами защиты (VM \ DLP \ NGFW \ <highlighttext>Security</highlighttext> cloud \ AV\ DAM \ SAST \ IPS etc). ,fullDay,HOURS_8,5/2,Специалист по информационной безопасности,От 3 до 6 лет,full
