name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Middle QA Engineer,Астана,,,,2024-12-17T15:22:14+0300,Талисман качества,Apply Black/White/Gray Box QA techniques. English level at least B2. Odoo CRM experience. Understanding of software development...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
QA Engineer (Middle),Алматы,400000.0,,KZT,2024-12-16T10:56:24+0300,Ticketon Events,"Опыт работы с основными методами тестирования (функциональное, регрессионное, нагрузочное тестирование). Понимание процессов разработки ПО и жизненного цикла багов. ",fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Тестировщик,Талдыкорган,,,,2024-12-17T08:20:59+0300,Частная компания “Automated Communication Solutions Ltd.”,Внимательны к деталям и умеете точно следовать инструкциям! Сильные коммуникативные навыки для эффективного сотрудничества с членами команды! Никакого предварительного профессионального...,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
IT-рекрутер,Алматы,,,,2024-11-29T14:42:30+0300,Globerce Inc.,Какие навыки нужны? Знание IT-рынка и опыт в IT рекрутинге обязателен*. Навыки сорсинга. Коммуникабельность. Навыки интервьюирования. Организованность. ,fullDay,HOURS_8,5/2,Специалист по подбору персонала,Нет опыта,full
QA Engineer,Астана,,,,2024-12-03T13:55:29+0300,Andersen,Experience as a <highlighttext>QA</highlighttext> <highlighttext>Engineer</highlighttext> for 2+ years. Experience in back-end and front-end testing. Experience with SQL...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
Middle+/Senior Android developer,Алматы,,,,2024-12-16T15:14:15+0300,red_mad_robot,"Не менее 4-х лет опыта коммерческой разработки под Android. Глубокое знание Kotlin и платформы Android. Владение Kotlin Coroutines, Flow. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
IOS-разработчик,Астана,,,,2024-11-20T18:13:54+0300,red_mad_robot,"Знание Swift 5. Знание AutoLayout. Базовое понимание принципов работы с многопоточностью – GCD/Operation/NSLock. Понимание архитектур SOA, MVVM, MVP, VIPER...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
HR специалист,Астана,300000.0,,KZT,2024-11-18T07:51:34+0300,TEQ World,"Понимание специфики IT-индустрии, включая особенности найма разработчиков, аналитиков, <highlighttext>тестировщиков</highlighttext> и др. Опыт работы с небольшими коллективами: Понимание специфики работы...",fullDay,HOURS_8,5/2,Менеджер по персоналу,От 1 года до 3 лет,full
Senior QA Engineer,Алматы,800000.0,,KZT,2024-12-15T13:45:30+0300,IT Space Apps,"1)Навыки управления ресурсами: должен уметь эффективно планировать и распределять задачи среди QA команды, обеспечивая максимальную продуктивность и избегая перегрузок. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик связи,Алматы,150000.0,250000.0,KZT,2024-12-17T09:31:38+0300,Частная компания “Automated Communication Solutions Ltd.”,"Улучшением разговорных способностей роботов, обучив их эффективно понимать запросы пользователей и отвечать на них. Требования: Уметь работать с базами данных. ",fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
QA engineer middle (Инженер по тестированию),Алматы,,500000.0,KZT,2024-12-16T15:59:13+0300,Faceplate,"Опыт работы в области тестирования или разработки ПО. Знания ci/cd. Знания Postman, Linux, bash, Docker, git. Знания в HTML...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Тестировщик Middle\Middle+ (SAP Hybris),Алматы,,,,2024-11-28T13:13:22+0300,MASTERDATA,"Уверенные знания теории тестирования, методологий разработки ПО. Знание основ Hybris. Умение писать и выполнять тест-кейсы. Навыки работы с баг...",fullDay,HOURS_8,5/2,Методолог,От 1 года до 3 лет,full
Junior Automation QA Engineer (Java),Алматы,,,,2024-11-26T18:57:52+0300,Andersen,Must-haves: - Commercial development experience as a <highlighttext>QA</highlighttext> Automation <highlighttext>Engineer</highlighttext> (Java) for 6+ months. - Knowledge of automation testing. - ,fullDay,HOURS_8,5/2,Тестировщик,Нет опыта,full
Радиомонтажник РЭА и приборов,Алматы,,200000.0,KZT,2024-11-22T10:13:56+0300,Орион Система,Уверенный пользователь ПК. Ответственность. Усидчивость. Аккуратность.,fullDay,HOURS_8,5/2,"Сервисный инженер, инженер-механик",От 1 года до 3 лет,full
QA Middle Manual Engineer,Алматы,,,,2024-12-16T15:42:16+0300,SUCCESS INITIATIVE GROUP(SIG),"Опыт работы в QA от 2 года. Умение работать с системами ведения проекта (JIRA, TFS, YouTrack и др.) и тест...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Инженер-программист,Алматы,380000.0,800000.0,KZT,2024-12-17T11:52:13+0300,АЛМАТЫЭНЕРГОСЕРВИС,Требования: Опыт программирования на языке Visual scripting и UE4 C++ не менее 2-х лет. Codereview. Знание программ C...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior QA Automation Engineer (Cypress / JavaScript),Астана,,,,2024-11-29T12:47:38+0300,DIGITAL TEAM (ДИДЖИТЛ ТИМ),"5+ years of experience as a QAa engineer. - Proficiency in JavaScript, Cypress. - Strong knowledge of QA basics, especially API...",remote,HOURS_8,5/2,Тестировщик,Более 6 лет,full
Middle QA Automation Engineer,Алматы,,,,2024-12-12T08:43:54+0300,Ре-Сим,Опыт работы в сфере автоматизации тестирования от 3 лет. Опыт работы с одним из языков программирования Java/Kotlin. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Java Back-end Developer,Алматы,700000.0,,KZT,2024-11-28T07:55:22+0300,UCO,Дружная команда cертифицированных профессионалов с опытом (Обмен знаниями). Получение опыта на реальных проектах.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Middle QA Automation Engineer,Астана,,,,2024-12-12T08:43:12+0300,Ре-Сим,Опыт работы в сфере автоматизации тестирования от 3 лет. Опыт работы с одним из языков программирования Java/Kotlin. ,remote,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Разработчик БД MS SQL Server,Алматы,,,,2024-12-17T07:43:56+0300,"ALSECO, АО",Профильное высшее образование. Самоорганизованность и самодисциплину. Знание теории реляционных баз данных. Знание и опыт разработки на T-SQL. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
